,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
129,Lung,0.06014253944158554,0.19454428553581238,0.0,0.0,0.0,0.0,1.9439412355422974,ALG1,0.0,0.0,0.0,all,immune
130,Lymph_Node,0.047881755977869034,0.2048860788345337,0.0,0.0,0.0,0.0,2.110729694366455,ALG1,0.0,0.0,0.0,all,immune
131,Mammary,0.020119188353419304,0.1552712619304657,0.0,0.0,0.0,0.0,1.5989607572555542,ALG1,0.0,0.0,0.0,all,immune
132,Muscle,0.03315095975995064,0.16507089138031006,0.0,0.0,0.0,0.0,1.3178093433380127,ALG1,0.0,0.0,0.0,all,immune
133,Pancreas,0.09956244379281998,0.2675410807132721,0.0,0.0,0.0,0.0,2.0850794315338135,ALG1,0.0,0.0,0.0,all,immune
134,Prostate,0.038451652973890305,0.1872222125530243,0.0,0.0,0.0,0.0,1.7316700220108032,ALG1,0.0,0.0,0.0,all,immune
135,Salivary_Gland,0.05094040557742119,0.21127940714359283,0.0,0.0,0.0,0.0,1.6888149976730347,ALG1,0.0,0.0,0.0,all,immune
136,Skin,0.014359474182128906,0.12629283964633942,0.0,0.0,0.0,0.0,1.5843188762664795,ALG1,0.0,0.0,0.0,all,immune
137,Small_Intestine,0.014363936148583889,0.11672388017177582,0.0,0.0,0.0,0.0,1.5330753326416016,ALG1,0.0,0.0,0.0,all,immune
138,Spleen,0.05981585755944252,0.2109399288892746,0.0,0.0,0.0,0.0,2.0562539100646973,ALG1,0.0,0.0,0.0,all,immune
139,Thymus,0.066042959690094,0.23915234208106995,0.0,0.0,0.0,0.0,2.3040263652801514,ALG1,0.0,0.0,0.0,all,immune
140,Tongue,0.037644583731889725,0.19332900643348694,0.0,0.0,0.0,0.0,1.8897898197174072,ALG1,0.0,0.0,0.0,all,immune
141,Trachea,0.041620705276727676,0.17584817111492157,0.0,0.0,0.0,0.0,1.5195468664169312,ALG1,0.0,0.0,0.0,all,immune
142,Uterus,0.042583294212818146,0.1961900293827057,0.0,0.0,0.0,0.0,1.4290193319320679,ALG1,0.0,0.0,0.0,all,immune
143,Vasculature,0.06156483665108681,0.20211346447467804,0.0,0.0,0.0,0.0,1.6279313564300537,ALG1,0.0,0.0,0.0,all,immune
144,Bladder,0.015506956726312637,0.11840512603521347,0.0,0.0,0.0,0.0,1.8462759256362915,ALG10,0.0,0.0,0.0,all,immune
