,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
155,Thymus,0.04028505086898804,0.17763783037662506,0.0,0.0,0.0,0.0,2.085017681121826,ALG10B,0.0,0.0,0.0,all,stromal
156,Tongue,0.04002861678600311,0.19053488969802856,0.0,0.0,0.0,0.0,1.4730395078659058,ALG10B,0.0,0.0,0.0,all,stromal
157,Trachea,0.03769512102007866,0.17258329689502716,0.0,0.0,0.0,0.0,1.715591549873352,ALG10B,0.0,0.0,0.0,all,stromal
158,Uterus,0.01710008643567562,0.10576681792736053,0.0,0.0,0.0,0.0,1.4743367433547974,ALG10B,0.0,0.0,0.0,all,stromal
159,Vasculature,0.05099323391914368,0.16847896575927734,0.0,0.0,0.0,0.0,1.8840891122817993,ALG10B,0.0,0.0,0.0,all,stromal
160,Bladder,0.023431973531842232,0.12786494195461273,0.0,0.0,0.0,0.0,1.6040199995040894,ALG11,0.0,0.0,0.0,all,stromal
161,Eye,0.07342851161956787,0.22587835788726807,0.0,0.0,0.0,0.0,2.137643337249756,ALG11,0.0,0.0,0.0,all,stromal
162,Fat,0.03725538030266762,0.15348690748214722,0.0,0.0,0.0,0.0,1.711118221282959,ALG11,0.0,0.0,0.0,all,stromal
163,Heart,0.05676191300153732,0.16897164285182953,0.0,0.0,0.0,0.0,1.5849353075027466,ALG11,0.0,0.0,0.0,all,stromal
164,Large_Intestine,0.04463348165154457,0.21313977241516113,0.0,0.0,0.0,0.0,1.5775752067565918,ALG11,0.0,0.0,0.0,all,stromal
165,Liver,0.07080134749412537,0.23257014155387878,0.0,0.0,0.0,0.0,1.2039260864257812,ALG11,0.0,0.0,0.0,all,stromal
166,Lung,0.03617295250296593,0.20283077657222748,0.0,0.0,0.0,0.0,1.5503947734832764,ALG11,0.0,0.0,0.0,all,stromal
167,Lymph_Node,0.032922256737947464,0.13131752610206604,0.0,0.0,0.0,0.0,0.7287561297416687,ALG11,0.0,0.0,0.0,all,stromal
168,Mammary,0.037161875516176224,0.18308651447296143,0.0,0.0,0.0,0.0,1.5084871053695679,ALG11,0.0,0.0,0.0,all,stromal
169,Muscle,0.034777719527482986,0.16373907029628754,0.0,0.0,0.0,0.0,1.5705981254577637,ALG11,0.0,0.0,0.0,all,stromal
170,Pancreas,0.054873738437891006,0.18397074937820435,0.0,0.0,0.0,0.0,1.3242546319961548,ALG11,0.0,0.0,0.0,all,stromal
171,Prostate,0.026646217331290245,0.14661185443401337,0.0,0.0,0.0,0.0,1.2305370569229126,ALG11,0.0,0.0,0.0,all,stromal
172,Salivary_Gland,0.06396990269422531,0.22354213893413544,0.0,0.0,0.0,0.0,1.8148356676101685,ALG11,0.0,0.0,0.0,all,stromal
173,Skin,0.03788163885474205,0.16441191732883453,0.0,0.0,0.0,0.0,1.5681885480880737,ALG11,0.0,0.0,0.0,all,stromal
174,Small_Intestine,0.057967159897089005,0.2333117574453354,0.0,0.0,0.0,0.0,1.3796563148498535,ALG11,0.0,0.0,0.0,all,stromal
175,Thymus,0.07099172472953796,0.22618146240711212,0.0,0.0,0.0,0.0,1.6834394931793213,ALG11,0.0,0.0,0.0,all,stromal
176,Tongue,0.027106814086437225,0.15279431641101837,0.0,0.0,0.0,0.0,1.6246498823165894,ALG11,0.0,0.0,0.0,all,stromal
177,Trachea,0.046408768743276596,0.18628250062465668,0.0,0.0,0.0,0.0,1.482176661491394,ALG11,0.0,0.0,0.0,all,stromal
178,Uterus,0.026809919625520706,0.1410844922065735,0.0,0.0,0.0,0.0,1.6251410245895386,ALG11,0.0,0.0,0.0,all,stromal
